Topology,Protocol,Mean_ms,Median_ms,Min_ms,Max_ms,StdDev_ms,P95_ms,P99_ms,CI_Lower,CI_Upper
topo01,Classic NTOR,1.53,1.57,1.41,1.59,0.06,1.59,1.59,1.50,1.55
topo01,PQ-NTOR,0.65,0.66,0.58,0.69,0.03,0.69,0.69,0.64,0.66
topo02,Classic NTOR,2.49,2.49,2.48,2.51,0.01,2.51,2.51,2.49,2.50
topo02,PQ-NTOR,1.00,1.00,0.98,1.07,0.02,1.07,1.07,0.99,1.01
topo03,Classic NTOR,2.50,2.49,2.47,2.60,0.03,2.60,2.60,2.49,2.51
topo03,PQ-NTOR,0.99,0.98,0.98,1.03,0.01,1.03,1.03,0.98,1.00
topo04,Classic NTOR,1.71,1.51,1.48,2.48,0.38,2.48,2.48,1.55,1.88
topo04,PQ-NTOR,0.64,0.66,0.55,0.67,0.04,0.67,0.67,0.62,0.66
topo05,Classic NTOR,2.49,2.49,2.47,2.50,0.01,2.50,2.50,2.48,2.49
topo05,PQ-NTOR,0.99,0.98,0.97,1.06,0.02,1.06,1.06,0.98,1.00
topo06,Classic NTOR,2.49,2.49,2.47,2.53,0.01,2.53,2.53,2.48,2.49
topo06,PQ-NTOR,0.98,0.97,0.96,1.16,0.04,1.16,1.16,0.96,1.00
topo07,Classic NTOR,2.48,2.48,2.46,2.53,0.02,2.53,2.53,2.47,2.49
topo07,PQ-NTOR,0.97,0.96,0.96,0.99,0.01,0.99,0.99,0.96,0.97
topo08,Classic NTOR,1.53,1.57,1.40,1.58,0.05,1.58,1.58,1.51,1.55
topo08,PQ-NTOR,0.66,0.66,0.66,0.68,0.01,0.68,0.68,0.66,0.67
topo09,Classic NTOR,1.54,1.57,1.41,1.60,0.05,1.60,1.60,1.52,1.57
topo09,PQ-NTOR,0.66,0.66,0.58,0.72,0.03,0.72,0.72,0.65,0.67
topo10,Classic NTOR,1.37,1.37,1.37,1.38,0.00,1.38,1.38,1.37,1.38
topo10,PQ-NTOR,0.55,0.55,0.54,0.56,0.00,0.56,0.56,0.55,0.55
topo11,Classic NTOR,1.38,1.38,1.37,1.39,0.01,1.39,1.39,1.38,1.38
topo11,PQ-NTOR,0.55,0.55,0.55,0.58,0.01,0.58,0.58,0.55,0.56
topo12,Classic NTOR,1.37,1.37,1.37,1.38,0.00,1.38,1.38,1.37,1.38
topo12,PQ-NTOR,0.55,0.55,0.55,0.60,0.01,0.60,0.60,0.55,0.56
