# Config,Run,Time(s),Status,CircuitTime,HandshakeCount
baseline,1,59.030816719,SUCCESS,,0
0
baseline,2,61.493340140,SUCCESS,,0
0
baseline,3,61.699470047,SUCCESS,,0
0
leo,1,62.732640592,SUCCESS,,0
0
leo,2,62.784714932,SUCCESS,,0
0
leo,3,62.326701570,SUCCESS,,0
0
meo,1,64.380096807,SUCCESS,,0
0
meo,2,64.308433467,SUCCESS,,0
0
meo,3,64.582380880,SUCCESS,,0
0
geo,1,71.113409208,SUCCESS,,0
0
geo,2,70.788433520,SUCCESS,,0
0
geo,3,72.515546654,SUCCESS,,0
0
