Topology,Protocol,Description,Bandwidth_Mbps,Link_Delay_ms,Loss_Percent,Crypto_CBT_ms,Network_Delay_ms,Transmission_Delay_ms,Retransmission_Delay_ms,Total_CBT_ms,Network_Ratio
topo01,Classic NTOR,Z1 Up - 直连NOMA,59.27,2.71,3.0,0.374,16.26,0.047,0.978,17.659,97.88
topo01,PQ-NTOR,Z1 Up - 直连NOMA,59.27,2.71,3.0,0.19,16.26,0.656,1.015,18.121,98.95
topo01,Hybrid NTOR,Z1 Up - 直连NOMA,59.27,2.71,3.0,0.955,16.26,0.682,1.017,18.913,94.95
topo02,Classic NTOR,Z2 Up - T协作接入,16.55,2.72,3.0,0.282,16.32,0.168,0.989,17.76,98.41
topo02,PQ-NTOR,Z2 Up - T协作接入,16.55,2.72,3.0,0.17,16.32,2.349,1.12,19.959,99.15
topo02,Hybrid NTOR,Z2 Up - T协作接入,16.55,2.72,3.0,0.662,16.32,2.442,1.126,20.55,96.78
topo03,Classic NTOR,Z3 Up - T用户协作NOMA,25.19,2.71,1.0,0.273,16.26,0.111,0.327,16.971,98.39
topo03,PQ-NTOR,Z3 Up - T用户协作NOMA,25.19,2.71,1.0,0.171,16.26,1.543,0.356,18.331,99.07
topo03,Hybrid NTOR,Z3 Up - T用户协作NOMA,25.19,2.71,1.0,0.616,16.26,1.604,0.357,18.838,96.73
topo04,Classic NTOR,Z4 Up - 混合直连+协作,23.64,2.72,3.0,0.267,16.32,0.118,0.986,17.691,98.49
topo04,PQ-NTOR,Z4 Up - 混合直连+协作,23.64,2.72,3.0,0.181,16.32,1.645,1.078,19.224,99.06
topo04,Hybrid NTOR,Z4 Up - 混合直连+协作,23.64,2.72,3.0,0.634,16.32,1.71,1.082,19.745,96.79
topo05,Classic NTOR,Z5 Up - 多层树形结构,25.19,2.72,3.0,0.256,16.32,0.111,0.986,17.672,98.55
topo05,PQ-NTOR,Z5 Up - 多层树形结构,25.19,2.72,3.0,0.141,16.32,1.543,1.072,19.076,99.26
topo05,Hybrid NTOR,Z5 Up - 多层树形结构,25.19,2.72,3.0,0.684,16.32,1.604,1.075,19.684,96.53
topo06,Classic NTOR,Z6 Up - 双UAV中继+T,22.91,2.72,1.0,0.258,16.32,0.122,0.329,17.028,98.48
topo06,PQ-NTOR,Z6 Up - 双UAV中继+T,22.91,2.72,1.0,0.157,16.32,1.697,0.36,18.534,99.15
topo06,Hybrid NTOR,Z6 Up - 双UAV中继+T,22.91,2.72,1.0,0.62,16.32,1.764,0.362,19.066,96.75
topo07,Classic NTOR,Z1 Down - 直连NOMA+协作,69.43,2.71,2.0,0.308,16.26,0.04,0.652,17.26,98.22
topo07,PQ-NTOR,Z1 Down - 直连NOMA+协作,69.43,2.71,2.0,0.147,16.26,0.56,0.673,17.64,99.17
topo07,Hybrid NTOR,Z1 Down - 直连NOMA+协作,69.43,2.71,2.0,0.627,16.26,0.582,0.674,18.143,96.54
topo08,Classic NTOR,Z2 Down - T协作接入+协作,44.84,2.72,2.0,0.257,16.32,0.062,0.655,17.294,98.51
topo08,PQ-NTOR,Z2 Down - T协作接入+协作,44.84,2.72,2.0,0.17,16.32,0.867,0.687,18.045,99.06
topo08,Hybrid NTOR,Z2 Down - T协作接入+协作,44.84,2.72,2.0,0.647,16.32,0.901,0.689,18.557,96.51
topo09,Classic NTOR,Z3 Down - T用户协作下行,29.84,2.72,0.5,0.262,16.32,0.093,0.164,16.839,98.44
topo09,PQ-NTOR,Z3 Down - T用户协作下行,29.84,2.72,0.5,0.168,16.32,1.303,0.176,17.967,99.06
topo09,Hybrid NTOR,Z3 Down - T用户协作下行,29.84,2.72,0.5,0.651,16.32,1.354,0.177,18.502,96.48
topo10,Classic NTOR,Z4 Down - 混合直连+协作,28.29,2.72,2.0,0.291,16.32,0.098,0.657,17.366,98.32
topo10,PQ-NTOR,Z4 Down - 混合直连+协作,28.29,2.72,2.0,0.15,16.32,1.374,0.708,18.552,99.19
topo10,Hybrid NTOR,Z4 Down - 混合直连+协作,28.29,2.72,2.0,0.631,16.32,1.429,0.71,19.09,96.69
topo11,Classic NTOR,Z5 Down - NOMA接收+转发,9.67,2.72,2.0,0.259,16.32,0.288,0.664,17.531,98.52
topo11,PQ-NTOR,Z5 Down - NOMA接收+转发,9.67,2.72,2.0,0.139,16.32,4.021,0.814,21.293,99.35
topo11,Hybrid NTOR,Z5 Down - NOMA接收+转发,9.67,2.72,2.0,0.71,16.32,4.18,0.82,22.03,96.78
topo12,Classic NTOR,Z6 Down - 双中继NOMA+协作,8.73,2.72,2.0,0.261,16.32,0.319,0.666,17.565,98.51
topo12,PQ-NTOR,Z6 Down - 双中继NOMA+协作,8.73,2.72,2.0,0.144,16.32,4.454,0.831,21.749,99.34
topo12,Hybrid NTOR,Z6 Down - 双中继NOMA+协作,8.73,2.72,2.0,0.656,16.32,4.63,0.838,22.444,97.08
