Protocol,Mean_us,Median_us,Min_us,Max_us,StdDev_us,P95_us,P99_us,CI_Lower,CI_Upper
Classic NTOR,458.94,457.00,455.00,595.00,9.42,464.00,534.00,458.35,459.52
PQ-NTOR,184.82,184.00,182.00,290.00,6.04,190.00,192.00,184.44,185.19
